F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24,F25,F26,F27,F28,F29,F30,F31,F32,F33,F34,F35,F36,F37,F38,F39,F40,F41,F42,F43,F44,F45,F46,F47,F48,F49,F50,F51,F52,F53,F54,F55,F56,F57,F58,F59,F60,F61,F62,F63,F64,KELAS
0.027388934,0.024370188,0.02982528,0.023622456,0.021392589,0.024370188,0.023453115,0.023622456,0.019020828,0.019866726,0.020831644,0.019180588,6.323800755,7.981780102,5.769813534,8.098759926,10.56535451,7.981780102,9.456731928,8.098759926,13.38006719,12.0842315,11.7481086,12.46723339,140.2304308,232.9158949,132.5117564,228.462519,375.3559041,232.9158949,336.1978343,228.462519,577.5865735,509.547095,493.5884465,510.6582686,0.326400217,0.277498764,0.359496173,0.265754223,0.229261095,0.277498764,0.258192387,0.265754223,0.188405689,0.200284699,0.214861975,0.189084082,17.25647447,24.13518568,96.87095495,75.76892532,125.5077237,95.93570999,582.5071878,5740.930044,9203.660451,0.001391575,8.68E-08,2.50E-11,1.99E-11,3.89E-22,5.30E-15,-2.14E-22,SUNFLOWER
0.022574466,0.018947907,0.021937763,0.019047896,0.017459635,0.018947907,0.017057401,0.019047896,0.015651093,0.01548829,0.015292866,0.015605945,4.787591455,6.892447111,5.478808283,6.95286434,8.059483957,6.892447111,9.079100402,6.95286434,10.16965997,10.58319642,11.36401341,10.63611397,64.81522296,138.7678722,96.27744021,140.484879,178.2561096,138.7678722,248.7385382,140.484879,277.6785596,312.5875239,366.1938028,318.1654828,0.289737088,0.21521042,0.272535537,0.218839209,0.192059014,0.21521042,0.182084564,0.218839209,0.157488482,0.151007051,0.148958975,0.154667919,23.172448,26.94702191,94.425384,48.48542159,92.177304,62.32238272,726.1419897,2350.836107,3884.079387,0.001851917,5.56E-07,4.04E-11,8.47E-12,-1.47E-22,-2.64E-15,5.37E-23,SUNFLOWER
0.026767209,0.022524748,0.025521189,0.022516014,0.022618476,0.022524748,0.021013566,0.022516014,0.020823632,0.019001459,0.019102676,0.018984261,8.028912686,10.5556847,7.825456,10.7708831,13.43580447,10.5556847,13.23813351,10.7708831,16.61024201,16.1316186,16.5237754,16.38181029,194.6770372,333.5596446,186.4409333,334.5894375,531.9499623,333.5596446,517.0282377,334.5894375,788.2707939,754.0388363,772.6263529,737.5920344,0.271587729,0.216861877,0.270511734,0.214009462,0.199340739,0.216861877,0.191843313,0.214009462,0.172102925,0.160360497,0.160324735,0.157218039,81.8285992,55.91025397,113.9050466,62.35707902,145.6708149,79.55478814,3125.956499,3888.405303,6328.964316,0.001415981,3.08E-07,9.08E-11,5.78E-11,4.06E-21,3.15E-14,1.04E-21,SUNFLOWER
0.027605738,0.022239048,0.025827001,0.022654871,0.021235345,0.022239048,0.020172149,0.022654871,0.01899046,0.018237077,0.018147245,0.018636366,4.111070812,6.054153211,4.528809343,5.780195971,7.012615917,6.054153211,7.630681346,5.780195971,8.982370884,9.513917261,9.733521821,9.118036158,59.44613817,122.7009944,72.97855711,111.7029638,169.424083,122.7009944,202.7809168,111.7029638,271.2891854,292.2645808,316.3818462,276.3283584,0.366189293,0.271576382,0.336915442,0.277600418,0.252120794,0.271576382,0.233281108,0.277600418,0.209958007,0.196200943,0.194886509,0.201785908,71.75369655,82.76750081,127.5624621,49.62153233,146.0367172,70.89654646,6850.45919,2462.296471,5026.3203,0.001375215,3.84E-08,2.82E-11,2.49E-13,4.62E-25,-2.08E-17,-4.69E-25,SUNFLOWER
0.019921209,0.016419405,0.018780948,0.016162838,0.015104771,0.016419405,0.014290391,0.016162838,0.013277813,0.012994094,0.012578313,0.012798236,3.732867562,5.328991957,4.093789111,5.520076622,6.642907692,5.328991957,7.303189771,5.520076622,8.751506744,8.875065647,9.641442525,9.180950726,37.58935893,72.22181792,44.16079669,78.68668623,116.3457,72.22181792,139.0451692,78.68668623,198.6951985,199.253487,238.5310252,215.5128707,0.340846886,0.252912791,0.311747235,0.247684952,0.224303043,0.252912791,0.201989832,0.247684952,0.179624953,0.169003984,0.159813043,0.16525373,85.19427969,85.72674622,141.0731494,66.0311796,153.6084061,72.85614821,7349.075018,4360.11668,5308.018332,0.001288759,9.40E-09,3.03E-11,3.56E-11,1.17E-21,-3.28E-15,-5.79E-23,SUNFLOWER
0.031468827,0.026682761,0.030906623,0.026319521,0.024948415,0.026682761,0.024495257,0.026319521,0.02208555,0.021765709,0.021811702,0.021329377,4.205530455,5.580016461,3.890981203,5.504652386,7.207948448,5.580016461,6.652327469,5.504652386,9.266060301,8.758803773,8.518358622,8.744979382,71.22235533,116.4510299,56.64520312,112.9974928,205.394995,116.4510299,164.8267295,112.9974928,328.9130239,285.1436375,267.6278385,286.31969,0.397770606,0.32780529,0.402225097,0.327018194,0.29262452,0.32780529,0.297725628,0.327018194,0.247883853,0.246271199,0.252648228,0.244005081,76.59284099,103.6308613,127.6850671,63.19985013,137.1761895,59.26143063,10739.3554,3994.221056,3511.91716,0.001491511,5.24E-09,5.27E-11,3.50E-11,1.50E-21,1.19E-15,-4.86E-23,SUNFLOWER
0.027918258,0.022012498,0.025010485,0.022538235,0.021171309,0.022012498,0.019170293,0.022538235,0.018587917,0.017614924,0.016934465,0.018073124,4.89853668,6.980489937,5.431911994,6.843892418,8.122471954,6.980489937,9.05517639,6.843892418,10.01437209,10.46578189,11.21537704,10.26322699,78.58946332,143.6393056,87.2887123,140.8925302,206.4964603,143.6393056,232.7827727,140.8925302,302.9228062,305.1328447,341.5461168,304.1906271,0.32684905,0.234615143,0.288774066,0.240000916,0.216801524,0.234615143,0.191043633,0.240000916,0.173881255,0.160712722,0.153017359,0.166016165,43.11790751,41.81896802,168.0922119,52.89697954,181.6314297,70.03202242,1748.826086,2798.090445,4904.484164,0.001040794,5.10E-09,6.48E-13,1.88E-12,-2.07E-24,-5.26E-18,-5.61E-26,SUNFLOWER
0.035338108,0.030023047,0.034532419,0.029667052,0.028943542,0.030023047,0.027669708,0.029667052,0.025708022,0.024184995,0.02419848,0.023734671,3.757668342,5.196806021,3.847467153,5.041422261,6.358559923,5.196806021,6.5223766,5.041422261,8.14488754,8.051012092,8.342175824,7.853788096,52.146497,99.32099601,57.24017518,88.8848829,138.0188404,99.32099601,153.928351,88.8848829,214.6585194,222.5490114,237.6419048,201.3980052,0.447956922,0.37523898,0.438306183,0.371253933,0.34781131,0.37523898,0.335594192,0.371253933,0.300823203,0.288883083,0.285292683,0.283879722,87.8643388,104.7530872,130.3961858,53.02262364,124.0147577,67.11027239,10973.20928,2811.398618,4503.78866,0.001265155,4.10E-10,1.64E-11,4.70E-12,-3.95E-23,1.13E-17,1.19E-23,SUNFLOWER
0.063607363,0.056970445,0.063912119,0.057340403,0.055733815,0.056970445,0.055670122,0.057340403,0.051009929,0.048536825,0.050667922,0.048980349,6.061099868,7.807849794,5.7812337,7.709581968,9.511416153,7.807849794,9.163947503,7.709581968,11.5597357,11.17240699,11.17918351,10.98392709,155.1825701,242.0360896,138.9782108,241.4734201,362.7451074,242.0360896,334.6865928,241.4734201,513.6937295,473.6946069,479.5101401,472.6682842,0.429712683,0.366833971,0.426172611,0.369963184,0.352899182,0.366833971,0.348527433,0.369963184,0.316117549,0.302956599,0.309947799,0.305651744,21.6231643,14.32165545,93.62791207,58.93065923,131.0855539,88.61942737,205.1098149,3472.822598,7853.402907,0.001301367,4.03E-09,5.12E-12,7.17E-12,4.32E-23,1.92E-16,3.77E-24,SUNFLOWER
0.036561373,0.031101621,0.035187733,0.030946975,0.030475927,0.031101621,0.028144241,0.030946975,0.027578945,0.025300211,0.024844178,0.025161781,3.573143911,4.969976854,3.603331894,5.169778672,6.560436229,4.969976854,6.602705481,5.169778672,8.933688889,8.605070931,8.953833498,8.997205087,36.62528413,65.25115175,35.98390889,72.0545667,121.7690499,65.25115175,119.012773,72.0545667,223.6589481,195.6369248,216.768545,218.64054,0.398018145,0.318199328,0.38216865,0.314058233,0.297813898,0.318199328,0.275337359,0.314058233,0.254374122,0.233814101,0.22701459,0.230130563,91.77385267,56.15757099,141.5076317,44.58690536,143.3443867,64.46726422,3153.67278,1987.99213,4156.028157,0.001154771,1.09E-08,1.22E-11,2.28E-12,7.67E-24,-2.34E-16,-9.28E-24,SUNFLOWER
